profile,model,accuracy,f1,defective_recall,model_size_kb,latency_ms,fps,size_reduction_vs_baseline,latency_gain_vs_baseline,quality_drop_vs_baseline,pareto_efficient
baseline_pc_research,mobilenet_v2,0.993,0.9945,0.9956,8919.552,10.926961060034955,91.51675333203768,1.0,1.1345331910572711,0.0,True
edge_sbc_research,mobilenet_v3_small,0.9902,0.9923,0.9934,6057.5744,3.7373089430202526,267.5722064314716,1.4724626411522075,3.3170926431309535,0.0022000000000000908,True
micro_edge_research,small_cnn,0.993,0.9945,0.989,101.3,1.1032571480300248,906.4069983916254,88.05085883514315,11.23672755906098,0.0,False
micro_edge_int8_tflite_exact,small_cnn_int8,0.993,0.9945,0.989,31.3,0.49311604298964085,2027.920231386606,284.9697124600639,25.140127108499755,0.0,True
