profile,original_accuracy,dedup_accuracy,delta_accuracy,original_f1,dedup_f1,delta_f1,original_defective_recall,dedup_defective_recall,delta_defective_recall,original_size_kb,dedup_size_kb,notes
baseline_pc_dedup,0.993,0.9689119170984456,-0.024088082901554397,0.9945,0.9740820734341252,-0.020417926565874822,0.9956,0.9783080260303688,-0.017291973969631225,8919.552,8919.5107421875,deduplicated group split; original results unchanged
edge_sbc_dedup,0.9902,0.9702072538860104,-0.0199927461139896,0.9923,0.9745293466223699,-0.017770653377630063,0.9934,0.9544468546637744,-0.038953145336225514,6057.5744,6057.6025390625,deduplicated group split; original results unchanged
micro_edge_dedup,0.993,0.9766839378238342,-0.01631606217616577,0.9945,0.9804347826086957,-0.014065217391304397,0.989,0.9783080260303688,-0.010691973969631174,101.3,101.3193359375,deduplicated group split; original results unchanged
